id,x1,y1,x2,y2,label
65537,86.5,127.49999999999999,372.5,297.5,2578
65539,126.49999999999999,126.49999999999999,411.5,339.5,1157
65561,57.5,138.5,337.5,311.5,2578
65574,41.5,41.5,792.5,797.5,2022
65577,4.5,4.5,452.5,477.5,1198
65581,20.299999999999997,10.44,327.70000000000005,305.08,2053
65581,3.5,6.5,432.5,438.5,1566
65583,36.0,36.0,319.20000000000005,447.6,2099
65583,274.8,268.8,394.8,394.8,2053
65583,15.500000000000002,15.500000000000002,464.5,476.5,1554
65587,183.5,183.5,645.0,782.5,1566
65594,167.50000000000003,167.50000000000003,416.5,452.5,1151
65609,105.5,109.5,365.5,453.5,2530
65615,73.5,73.5,258.5,348.5,2521
65630,80.5,80.5,232.5,294.5,2534
65644,25.5,25.5,768.5,754.5,1026
65658,159.9675,159.9675,592.0875,592.0875,1311
65658,206.21124999999998,78.94500000000001,781.6787499999999,727.125,2738
65658,78.5,78.5,792.5,771.5,1505
65662,248.24,248.24,428.62,336.4,1078
65662,94.53999999999999,218.07999999999998,432.67999999999995,432.68,1116
65662,63.220000000000006,240.11999999999998,435.0,435.0,1731
65662,100.34,165.88,284.20000000000005,284.20000000000005,1453
65662,78.88000000000001,62.64,352.06,306.24,1040
65665,15.500000000000002,141.5,519.5,536.5,1538
65676,209.5,220.5,331.5,373.5,2504
65691,70.0,187.5,755.5,552.5,1154
65703,100.75874999999999,79.98375,753.09375,753.09375,1022
65703,80.5,80.5,761.5,786.5,1565
65705,52.97625,52.97625,743.245,690.7687500000001,2895
65706,113.22375000000001,113.22375000000001,701.6949999999999,647.14125,2620
65707,80.61999999999999,80.61999999999999,364.24,251.14000000000004,2620
65708,52.2,71.34,401.94,401.94000000000005,1853
65709,73.08,109.61999999999999,446.02000000000004,459.94,1300
65710,149.5,211.5,342.5,384.5,1074
65711,157.5,157.5,306.0,308.5,1310
65719,59.50000000000001,59.50000000000001,404.5,429.5,1893
65722,125.39999999999999,125.39999999999999,447.6,370.2,1566
65722,16.200000000000003,16.200000000000003,345.59999999999997,473.4,1893
65724,33.755,33.755,537.725,589.535,1533
65726,140.23125000000002,48.82125,724.00875,724.00875,2747
65726,21.81375,21.81375,755.7099999999999,773.86875,1069
65729,71.34,12.18,345.68000000000006,241.85999999999999,1084
65729,204.73999999999998,204.73999999999998,403.68,448.34000000000003,1009
65730,103.82000000000001,103.82000000000001,346.26,413.54,2618
65736,184.39749999999998,449.77875,751.5550000000001,811.26375,2730
65736,210.86624999999998,9.348749999999999,791.0275000000001,543.26625,1490
